(997.75f, 0.0f, -73.5f)
(1002.25f, 0.0f, -73.5f)
(1006.75f, 0.0f, -73.5f)
(1011.25f, 0.0f, -73.5f)
(1015.75f, 0.0f, -73.5f)
(1020.25f, 0.0f, -73.5f)
(1031.75f, 0.0f, -73.5f)
(1036.25f, 0.0f, -73.5f)
(1040.75f, 0.0f, -73.5f)
(1045.25f, 0.0f, -73.5f)
(1049.75f, 0.0f, -73.5f)
(1054.25f, 0.0f, -73.5f)
(1065.75f, 0.0f, -73.5f)
(1070.25f, 0.0f, -73.5f)
(1074.75f, 0.0f, -73.5f)
(1079.25f, 0.0f, -73.5f)
(1083.75f, 0.0f, -73.5f)
(1088.25f, 0.0f, -73.5f)
(1099.75f, 0.0f, -73.5f)
(1104.25f, 0.0f, -73.5f)
(1108.75f, 0.0f, -73.5f)
(1113.25f, 0.0f, -73.5f)
(1117.75f, 0.0f, -73.5f)
(1122.25f, 0.0f, -73.5f)
(1133.75f, 0.0f, -73.5f)
(1138.25f, 0.0f, -73.5f)
(1142.75f, 0.0f, -73.5f)
(1147.25f, 0.0f, -73.5f)
(1151.75f, 0.0f, -73.5f)
(1156.25f, 0.0f, -73.5f)
(1167.75f, 0.0f, -73.5f)
(1172.25f, 0.0f, -73.5f)
(1176.75f, 0.0f, -73.5f)
(1181.25f, 0.0f, -73.5f)
(1185.75f, 0.0f, -73.5f)
(1190.25f, 0.0f, -73.5f)
(1201.75f, 0.0f, -73.5f)
(1206.25f, 0.0f, -73.5f)
(1210.75f, 0.0f, -73.5f)
(1215.25f, 0.0f, -73.5f)
(1219.75f, 0.0f, -73.5f)
(1224.25f, 0.0f, -73.5f)
(1235.75f, 0.0f, -73.5f)
(1240.25f, 0.0f, -73.5f)
(1244.75f, 0.0f, -73.5f)
(1249.25f, 0.0f, -73.5f)
(1253.75f, 0.0f, -73.5f)
(1258.25f, 0.0f, -73.5f)
(1269.75f, 0.0f, -73.5f)
(1274.25f, 0.0f, -73.5f)
(1278.75f, 0.0f, -73.5f)
(1283.25f, 0.0f, -73.5f)
(1287.75f, 0.0f, -73.5f)
(1292.25f, 0.0f, -73.5f)
(1303.75f, 0.0f, -73.5f)
(1308.25f, 0.0f, -73.5f)
(1312.75f, 0.0f, -73.5f)
(1317.25f, 0.0f, -73.5f)
(1321.75f, 0.0f, -73.5f)
(1326.25f, 0.0f, -73.5f)
(1337.75f, 0.0f, -73.5f)
(1342.25f, 0.0f, -73.5f)
(1346.75f, 0.0f, -73.5f)
(1351.25f, 0.0f, -73.5f)
(1355.75f, 0.0f, -73.5f)
(1360.25f, 0.0f, -73.5f)
(1371.75f, 0.0f, -73.5f)
(1376.25f, 0.0f, -73.5f)
(1380.75f, 0.0f, -73.5f)
(1385.25f, 0.0f, -73.5f)
(1389.75f, 0.0f, -73.5f)
(1394.25f, 0.0f, -73.5f)
(1405.75f, 0.0f, -73.5f)
(1410.25f, 0.0f, -73.5f)
(1414.75f, 0.0f, -73.5f)
(1419.25f, 0.0f, -73.5f)
(1423.75f, 0.0f, -73.5f)
(1428.25f, 0.0f, -73.5f)
(1439.75f, 0.0f, -73.5f)
(1444.25f, 0.0f, -73.5f)
(1448.75f, 0.0f, -73.5f)
(1453.25f, 0.0f, -73.5f)
(1457.75f, 0.0f, -73.5f)
(1462.25f, 0.0f, -73.5f)
(1473.75f, 0.0f, -73.5f)
(1478.25f, 0.0f, -73.5f)
(1482.75f, 0.0f, -73.5f)
(1487.25f, 0.0f, -73.5f)
(1491.75f, 0.0f, -73.5f)
(1496.25f, 0.0f, -73.5f)
(1507.75f, 0.0f, -73.5f)
(1512.25f, 0.0f, -73.5f)
(1516.75f, 0.0f, -73.5f)
(1521.25f, 0.0f, -73.5f)
(1525.75f, 0.0f, -73.5f)
(1530.25f, 0.0f, -73.5f)
(1541.75f, 0.0f, -73.5f)
(1546.25f, 0.0f, -73.5f)
(1550.75f, 0.0f, -73.5f)
(1555.25f, 0.0f, -73.5f)
(1559.75f, 0.0f, -73.5f)
(1564.25f, 0.0f, -73.5f)
(45.75f, 0.0f, -657.5f)
(50.25f, 0.0f, -657.5f)
(54.75f, 0.0f, -657.5f)
(59.25f, 0.0f, -657.5f)
(63.75f, 0.0f, -657.5f)
(68.25f, 0.0f, -657.5f)
(79.75f, 0.0f, -657.5f)
(84.25f, 0.0f, -657.5f)
(88.75f, 0.0f, -657.5f)
(93.25f, 0.0f, -657.5f)
(97.75f, 0.0f, -657.5f)
(102.25f, 0.0f, -657.5f)
(113.75f, 0.0f, -657.5f)
(118.25f, 0.0f, -657.5f)
(122.75f, 0.0f, -657.5f)
(127.25f, 0.0f, -657.5f)
(131.75f, 0.0f, -657.5f)
(136.25f, 0.0f, -657.5f)
(147.75f, 0.0f, -657.5f)
(152.25f, 0.0f, -657.5f)
(156.75f, 0.0f, -657.5f)
(161.25f, 0.0f, -657.5f)
(165.75f, 0.0f, -657.5f)
(170.25f, 0.0f, -657.5f)
(181.75f, 0.0f, -657.5f)
(186.25f, 0.0f, -657.5f)
(190.75f, 0.0f, -657.5f)
(195.25f, 0.0f, -657.5f)
(199.75f, 0.0f, -657.5f)
(204.25f, 0.0f, -657.5f)
(215.75f, 0.0f, -657.5f)
(220.25f, 0.0f, -657.5f)
(224.75f, 0.0f, -657.5f)
(229.25f, 0.0f, -657.5f)
(233.75f, 0.0f, -657.5f)
(238.25f, 0.0f, -657.5f)
(249.75f, 0.0f, -657.5f)
(254.25f, 0.0f, -657.5f)
(258.75f, 0.0f, -657.5f)
(263.25f, 0.0f, -657.5f)
(267.75f, 0.0f, -657.5f)
(272.25f, 0.0f, -657.5f)
(283.75f, 0.0f, -657.5f)
(288.25f, 0.0f, -657.5f)
(292.75f, 0.0f, -657.5f)
(297.25f, 0.0f, -657.5f)
(301.75f, 0.0f, -657.5f)
(306.25f, 0.0f, -657.5f)
(317.75f, 0.0f, -657.5f)
(322.25f, 0.0f, -657.5f)
(326.75f, 0.0f, -657.5f)
(331.25f, 0.0f, -657.5f)
(335.75f, 0.0f, -657.5f)
(340.25f, 0.0f, -657.5f)
(351.75f, 0.0f, -657.5f)
(356.25f, 0.0f, -657.5f)
(360.75f, 0.0f, -657.5f)
(365.25f, 0.0f, -657.5f)
(369.75f, 0.0f, -657.5f)
(374.25f, 0.0f, -657.5f)
(385.75f, 0.0f, -657.5f)
(390.25f, 0.0f, -657.5f)
(394.75f, 0.0f, -657.5f)
(399.25f, 0.0f, -657.5f)
(403.75f, 0.0f, -657.5f)
(408.25f, 0.0f, -657.5f)
(419.75f, 0.0f, -657.5f)
(424.25f, 0.0f, -657.5f)
(428.75f, 0.0f, -657.5f)
(433.25f, 0.0f, -657.5f)
(437.75f, 0.0f, -657.5f)
(442.25f, 0.0f, -657.5f)
(453.75f, 0.0f, -657.5f)
(458.25f, 0.0f, -657.5f)
(462.75f, 0.0f, -657.5f)
(467.25f, 0.0f, -657.5f)
(471.75f, 0.0f, -657.5f)
(476.25f, 0.0f, -657.5f)
(487.75f, 0.0f, -657.5f)
(492.25f, 0.0f, -657.5f)
(496.75f, 0.0f, -657.5f)
(501.25f, 0.0f, -657.5f)
(505.75f, 0.0f, -657.5f)
(510.25f, 0.0f, -657.5f)
(521.75f, 0.0f, -657.5f)
(526.25f, 0.0f, -657.5f)
(530.75f, 0.0f, -657.5f)
(535.25f, 0.0f, -657.5f)
(539.75f, 0.0f, -657.5f)
(544.25f, 0.0f, -657.5f)
(555.75f, 0.0f, -657.5f)
(560.25f, 0.0f, -657.5f)
(564.75f, 0.0f, -657.5f)
(569.25f, 0.0f, -657.5f)
(573.75f, 0.0f, -657.5f)
(578.25f, 0.0f, -657.5f)
(589.75f, 0.0f, -657.5f)
(594.25f, 0.0f, -657.5f)
(598.75f, 0.0f, -657.5f)
(603.25f, 0.0f, -657.5f)
(607.75f, 0.0f, -657.5f)
(612.25f, 0.0f, -657.5f)
(623.75f, 0.0f, -657.5f)
(628.25f, 0.0f, -657.5f)
(632.75f, 0.0f, -657.5f)
(637.25f, 0.0f, -657.5f)
(641.75f, 0.0f, -657.5f)
(646.25f, 0.0f, -657.5f)
(657.75f, 0.0f, -657.5f)
(662.25f, 0.0f, -657.5f)
(666.75f, 0.0f, -657.5f)
(671.25f, 0.0f, -657.5f)
(675.75f, 0.0f, -657.5f)
(680.25f, 0.0f, -657.5f)
(691.75f, 0.0f, -657.5f)
(696.25f, 0.0f, -657.5f)
(700.75f, 0.0f, -657.5f)
(705.25f, 0.0f, -657.5f)
(709.75f, 0.0f, -657.5f)
(714.25f, 0.0f, -657.5f)
(725.75f, 0.0f, -657.5f)
(730.25f, 0.0f, -657.5f)
(734.75f, 0.0f, -657.5f)
(739.25f, 0.0f, -657.5f)
(743.75f, 0.0f, -657.5f)
(748.25f, 0.0f, -657.5f)
(759.75f, 0.0f, -657.5f)
(764.25f, 0.0f, -657.5f)
(768.75f, 0.0f, -657.5f)
(773.25f, 0.0f, -657.5f)
(777.75f, 0.0f, -657.5f)
