45.75,0.00,-657.50 45.75,0.00,-671.25 b 20
50.25,0.00,-657.50 50.25,0.00,-671.25 b 20
54.75,0.00,-657.50 54.75,0.00,-671.25 b 20
59.25,0.00,-657.50 59.25,0.00,-671.25 b 20
63.75,0.00,-657.50 63.75,0.00,-671.25 b 20
68.25,0.00,-657.50 68.25,0.00,-671.25 b 20
79.75,0.00,-657.50 79.75,0.00,-671.25 b 20
84.25,0.00,-657.50 84.25,0.00,-671.25 b 20
88.75,0.00,-657.50 88.75,0.00,-671.25 b 20
93.25,0.00,-657.50 93.25,0.00,-671.25 b 20
97.75,0.00,-657.50 97.75,0.00,-671.25 b 20
102.25,0.00,-657.50 102.25,0.00,-671.25 b 20
113.75,0.00,-657.50 113.75,0.00,-671.25 b 20
118.25,0.00,-657.50 118.25,0.00,-671.25 b 20
122.75,0.00,-657.50 122.75,0.00,-671.25 b 20
127.25,0.00,-657.50 127.25,0.00,-671.25 b 20
131.75,0.00,-657.50 131.75,0.00,-671.25 b 20
136.25,0.00,-657.50 136.25,0.00,-671.25 b 20
147.75,0.00,-657.50 147.75,0.00,-671.25 b 20
152.25,0.00,-657.50 152.25,0.00,-671.25 b 20
156.75,0.00,-657.50 156.75,0.00,-671.25 b 20
161.25,0.00,-657.50 161.25,0.00,-671.25 b 20
165.75,0.00,-657.50 165.75,0.00,-671.25 b 20
170.25,0.00,-657.50 170.25,0.00,-671.25 b 20
181.75,0.00,-657.50 181.75,0.00,-671.25 b 20
186.25,0.00,-657.50 186.25,0.00,-671.25 b 20
190.75,0.00,-657.50 190.75,0.00,-671.25 b 20
195.25,0.00,-657.50 195.25,0.00,-671.25 b 20
199.75,0.00,-657.50 199.75,0.00,-671.25 b 20
204.25,0.00,-657.50 204.25,0.00,-671.25 b 20
215.75,0.00,-657.50 215.75,0.00,-671.25 b 20
220.25,0.00,-657.50 220.25,0.00,-671.25 b 20
224.75,0.00,-657.50 224.75,0.00,-671.25 b 20
229.25,0.00,-657.50 229.25,0.00,-671.25 b 20
233.75,0.00,-657.50 233.75,0.00,-671.25 b 20
238.25,0.00,-657.50 238.25,0.00,-671.25 b 20
249.75,0.00,-657.50 249.75,0.00,-671.25 b 20
254.25,0.00,-657.50 254.25,0.00,-671.25 b 20
258.75,0.00,-657.50 258.75,0.00,-671.25 b 20
263.25,0.00,-657.50 263.25,0.00,-671.25 b 20
267.75,0.00,-657.50 267.75,0.00,-671.25 b 20
272.25,0.00,-657.50 272.25,0.00,-671.25 b 20
283.75,0.00,-657.50 283.75,0.00,-671.25 b 20
288.25,0.00,-657.50 288.25,0.00,-671.25 b 20
292.75,0.00,-657.50 292.75,0.00,-671.25 b 20
297.25,0.00,-657.50 297.25,0.00,-671.25 b 20
301.75,0.00,-657.50 301.75,0.00,-671.25 b 20
306.25,0.00,-657.50 306.25,0.00,-671.25 b 20
317.75,0.00,-657.50 317.75,0.00,-671.25 b 20
322.25,0.00,-657.50 322.25,0.00,-671.25 b 20
326.75,0.00,-657.50 326.75,0.00,-671.25 b 20
331.25,0.00,-657.50 331.25,0.00,-671.25 b 20
335.75,0.00,-657.50 335.75,0.00,-671.25 b 20
340.25,0.00,-657.50 340.25,0.00,-671.25 b 20
351.75,0.00,-657.50 351.75,0.00,-671.25 b 20
356.25,0.00,-657.50 356.25,0.00,-671.25 b 20
360.75,0.00,-657.50 360.75,0.00,-671.25 b 20
365.25,0.00,-657.50 365.25,0.00,-671.25 b 20
369.75,0.00,-657.50 369.75,0.00,-671.25 b 20
374.25,0.00,-657.50 374.25,0.00,-671.25 b 20
385.75,0.00,-657.50 385.75,0.00,-671.25 b 20
390.25,0.00,-657.50 390.25,0.00,-671.25 b 20
394.75,0.00,-657.50 394.75,0.00,-671.25 b 20
399.25,0.00,-657.50 399.25,0.00,-671.25 b 20
403.75,0.00,-657.50 403.75,0.00,-671.25 b 20
408.25,0.00,-657.50 408.25,0.00,-671.25 b 20
419.75,0.00,-657.50 419.75,0.00,-671.25 b 20
424.25,0.00,-657.50 424.25,0.00,-671.25 b 20
428.75,0.00,-657.50 428.75,0.00,-671.25 b 20
433.25,0.00,-657.50 433.25,0.00,-671.25 b 20
